from_x,from_y,to_x,to_y,param1,param2,param3
0,47,0,-47,58,81,4
4,33,6,-47,6,0,4
6,30,7,-47,8,0,4
8,26,8,-47,58,102,4
22,5,13,-47,6,0,4
23,1,14,-47,16,0,4
23,-3,15,-47,16,0,4
22,-7,16,-47,16,0,4
20,-11,17,-47,16,5,4
18,-16,18,-47,58,144,4
6,-30,22,-47,58,138,4
-3,-30,25,-47,4,0,4
-7,-28,26,-47,8,0,4
-11,-25,27,-47,16,0,4
-15,-21,28,-47,16,0,4
-19,-16,29,-47,16,0,4
-22,-11,30,-47,16,0,4
-24,-6,31,-47,16,0,4
-25,-1,32,-47,16,0,4
-25,4,33,-47,16,0,4
-23,10,34,-47,58,118,4
-4,41,39,-47,14,0,4
0,45,40,-47,16,0,4
4,49,41,-47,8,0,4
8,53,42,-47,8,0,4
12,56,43,-47,16,0,4
16,59,44,-47,8,0,4
20,61,45,-47,16,0,4
24,62,46,-47,16,0,4
28,63,47,-47,8,0,4
32,64,48,-47,8,0,4
36,64,48,-47,16,0,4
40,63,49,-48,16,0,4
44,61,48,-46,16,0,4
48,58,48,-45,58,72,4
64,39,48,-41,14,0,4
66,34,48,-40,16,0,4
67,29,48,-39,16,0,4
67,24,48,-38,16,0,4
66,19,48,-37,16,0,4
64,14,48,-36,16,0,4
61,9,48,-35,16,0,4
57,4,48,-34,16,0,4
52,-1,48,-33,16,5,4
46,-6,48,-32,16,16,4
39,-11,48,-31,16,0,4
31,-16,48,-30,16,16,4
22,-21,48,-29,16,0,4
12,-26,48,-28,16,8,4
2,-30,48,-27,16,0,4
-8,-33,48,-26,16,0,4
-18,-35,48,-25,16,0,4
-28,-36,48,-24,16,0,4
-38,-36,48,-23,16,0,4
-47,-36,48,-22,16,0,4
-55,-36,48,-21,16,0,4
-62,-36,48,-20,16,0,4
-68,-36,48,-19,16,0,4
-73,-36,48,-18,16,0,4
-77,-36,48,-17,16,0,4
-80,-36,48,-16,16,0,4
